Batch	Gene_id	Date anticipated	Latest email sent (MJ)	GW_title	corresponding author	Journal state	status	Pubmed	Gene Wiki Status	Gene Wiki Page	Notes	Acknowledgements	Grant ID	Editor	Correspondance status	Survey	Responding IP	PMCID
1*	57091	5/11/2015	5/15/2015	CASS4	Dr. Erica Golemis	published	http://www.sciencedirect.com/science/article/pii/S0378111915007726	http://www.ncbi.nlm.nih.gov/pubmed/26119091	Complete	http://en.wikipedia.org/wiki/CASS4	"Submission not linked to proposal, so keep an eye out for it"	Template used	GM089820	Andrew				4519417
1*	10278	5/11/2015	5/15/2015	EFS	Dr. Erica Golemis	published	http://www.sciencedirect.com/science/article/pii/S0378111915007726	http://www.ncbi.nlm.nih.gov/pubmed/26119091	Complete	http://en.wikipedia.org/wiki/Embryonal_fyn-associated_substrate	reviewed with CASS4 as one paper	Template used	GM089820	Andrew				4519417
2	10411	6/8/2015		RAPGEF3	Dr. Xiaodong Cheng	published	http://www.sciencedirect.com/science/article/pii/S0378111915007738	http://www.ncbi.nlm.nih.gov/pubmed/26119090	Complete	http://en.wikipedia.org/wiki/RAPGEF3		Template used	GM089820	Andrew		completed	139.52.28.226	4556420
5	2274	3/30/2015	4/1/2015	FHL2	Dr. Stephen Kwok-Wing Tsui	published	http://www.sciencedirect.com/science/article/pii/S0378111915008689	http://www.ncbi.nlm.nih.gov/pubmed/26211626	Complete	http://en.wikipedia.org/wiki/FHL2 	Cardiac Gene	Template used	GM089820	Andrew		completed	137.189.204.86	5975090
5	7134	4/17/2015	4/20/2015	TNNC1	Dr. Peter Hwang	published	http://www.sciencedirect.com/science/article/pii/S0378111915009154	http://www.ncbi.nlm.nih.gov/pubmed/26232335	Complete	http://en.wikipedia.org/wiki/Troponin_C_type_1 	Cardiac Gene	Template used	GM089820	Andrew		completed	129.128.6.170	4567495
1	2052	12/29/2014	1/12/2015	EPHX1	Dr. Pavel Soucek	published	http://www.sciencedirect.com/science/article/pii/S0378111915009129	http://www.ncbi.nlm.nih.gov/pubmed/26216302	Complete	https://en.wikipedia.org/wiki/EPHX1	--	Template used	GM089820	Andrew		completed	77.87.240.6	4544754
1	246	4/13/2015		ALOX15	Dr. Hartmut Kuhn	published	http://www.sciencedirect.com/science/article/pii/S0378111915009142	http://www.ncbi.nlm.nih.gov/pubmed/26216303	Complete	http://en.wikipedia.org/wiki/ALOX15 		Template used	GM089820	Andrew		completed	193.175.73.216	6728142
3	8451	6/19/2015	6/17/2015	CUL4A	Dr. Peng-bo Zhou	published	http://www.sciencedirect.com/science/article/pii/S0378111915010628	http://www.ncbi.nlm.nih.gov/pubmed/26344709	Complete	http://en.wikipedia.org/wiki/CUL4A		Template used	GM089820	Andrew		sent again		5110433
3*	8450	6/19/2015	6/17/2015	CUL4B	Dr. Peng-bo Zhou	published	http://www.sciencedirect.com/science/article/pii/S0378111915010628	http://www.ncbi.nlm.nih.gov/pubmed/26344709	Complete	http://en.wikipedia.org/wiki/CUL4B		Template used	GM089820	Andrew				5110433
1	3326	3/16/2015	3/17/2015	HSP90AB1	Dr. Haase	published	http://www.sciencedirect.com/science/article/pii/S0378111915010616	http://www.ncbi.nlm.nih.gov/pubmed/26358502	Complete	http://en.wikipedia.org/wiki/HSP90AB1 		Template used	GM089820	Andrew		completed	141.76.249.179	5675009
5	6331	12/18/2014	5/26/2015	SCN5A	Dr. Arthur Wilde	published	http://www.sciencedirect.com/science/article/pii/S0378111915010604	http://www.ncbi.nlm.nih.gov/pubmed/26361848	Complete	http://en.wikipedia.org/wiki/Nav1.5	Cardiac Gene. 	Template used	GM089820	Andrew		sent again		6636349
5	4607	5/29/2015	6/3/2015	MYBPC3	Dr. Lucie Carrier	published	http://www.sciencedirect.com/science/article/pii/S0378111915010884	http://www.ncbi.nlm.nih.gov/pubmed/26358504	Complete	"http://en.wikipedia.org/wiki/Myosin_binding_protein_C,_cardiac"	Cardiac Gene	Template used		Andrew		completed	134.100.99.134	6639799
2*	11069	6/22/2015	6/18/2015	RAPGEF4	Dr. Susumu Seino	published	http://www.sciencedirect.com/science/article/pii/S0378111915011385	http://www.ncbi.nlm.nih.gov/pubmed/26390815	Complete	http://en.wikipedia.org/wiki/RAPGEF4	Cardiac Gene	Template used	GM089820	Andrew		completed	133.30.193.159	6636354
4	26416	12/29/2014	1/12/2015	Mapk14	Dr. Yibin Wang	published	http://www.sciencedirect.com/science/article/pii/S0378111915011397	http://www.ncbi.nlm.nih.gov/pubmed/26390817	Complete	http://en.wikipedia.org/wiki/MAPK14	Cardiac Gene	Template used	GM089820	Andrew		sent again		4860190
5*	3753	7/31/2015	7/26/2015	KCNE1	Dr. Geoffrey W. Abbott	published	http://www.sciencedirect.com/science/article/pii/S0378111915011683	http://www.ncbi.nlm.nih.gov/pubmed/26410412	Complete	https://en.wikipedia.org/wiki/KCNE1	Cardiac Gene	Template used	GM089820	Andrew		completed	128.200.162.67	4917010
5*	10008	7/31/2015	7/26/2015	KCNE3	Dr. Geoffrey W. Abbott	published	http://www.sciencedirect.com/science/article/pii/S0378111915011683	http://www.ncbi.nlm.nih.gov/pubmed/26410412	Complete	https://en.wikipedia.org/wiki/KCNE3	Cardiac Gene	Template Used	GM089820	Andrew				4917010
5	4846	5/30/2015	4/30/2015	NOS3	Dr. Jose E Tanus-Santos	published	http://www.sciencedirect.com/science/article/pii/S0378111915011701	http://www.ncbi.nlm.nih.gov/pubmed/26428312	Complete	http://en.wikipedia.org/wiki/Endothelial_NOS	Cardiac Gene	Template used	GM089820	Andrew		sent again		6728140
3	3439	2/27/2015	3/9/2015	IFNA1	Dr. Timothy Niewold	published	http://www.sciencedirect.com/science/article/pii/S0378111915011671	http://www.ncbi.nlm.nih.gov/pubmed/26410416	"Updated, but too broad"	http://en.wikipedia.org/wiki/Interferon_alpha_1		Template used		Andrew		sent again		4666791
5	3077	5/31/2015	6/1/2015	HFE	Dr. Ronald Acton	published	http://www.sciencedirect.com/science/article/pii/S0378111915012172	http://www.ncbi.nlm.nih.gov/pubmed/26456104	Complete	http://en.wikipedia.org/wiki/HFE_(gene)	Cardiac Gene	Template used	GM089820	Andrew		completed	204.15.51.10	6660136
4*	7135	7/31/2015	8/3/2015	Tnni1	Dr. Jian-Ping Jin	published	http://www.sciencedirect.com/science/article/pii/S0378111915012603	http://www.ncbi.nlm.nih.gov/pubmed/26526134	Complete	https://en.wikipedia.org/wiki/TNNI1	"Cardiac Gene, submitted improperly"	Template used		Andrew		completed	141.217.154.50	5798203
4*	7136	7/31/2015	8/3/2015	Tnni2	Dr. Jian-Ping Jin	published	http://www.sciencedirect.com/science/article/pii/S0378111915012603	http://www.ncbi.nlm.nih.gov/pubmed/26526134	Complete	https://en.wikipedia.org/wiki/TNNI2	"Cardiac Gene, submitted improperly"	Template used		Andrew				5798203
4*	7137	7/31/2015	8/3/2015	Tnni3	Dr. Jian-Ping Jin	published	http://www.sciencedirect.com/science/article/pii/S0378111915012603	http://www.ncbi.nlm.nih.gov/pubmed/26526134	Complete	https://en.wikipedia.org/wiki/TNNI3	"Cardiac Gene, submitted improperly"	Template used		Andrew				5798203
5	182	4/24/2015	8/10/2015	JAG1	Dr. Nancy B Spinner	published	http://www.sciencedirect.com/science/article/pii/S0378111915012986	http://www.ncbi.nlm.nih.gov/pubmed/26548814	Complete	http://en.wikipedia.org/wiki/JAG1	Cardiac Gene	Template Used		Andrew		completed	159.14.241.235	4673022
7	55768	9/30/2015	9/28/2015	NGLY1	Dr. Tadashi Suzuki	published	http://www.sciencedirect.com/science/article/pii/S0378111915014304	http://www.ncbi.nlm.nih.gov/pubmed/26611529	Complete	http://en.wikipedia.org/wiki/NGLY1 	NGLY1 series	Template used		Andrew		completed	147.47.222.169	4691572
5	5566	10/1/2015	10/2/2015	PRKACA	Dr. John D. Scott and Rigney Turnham	published	http://www.sciencedirect.com/science/article/pii/S0378111915014882	http://www.ncbi.nlm.nih.gov/pubmed/26687711	Complete	http://en.wikipedia.org/wiki/PRKACA	Cardiac Gene	Template used		Erica		completed	50.135.187.135	4713328
3*	6337	9/4/2015	9/8/2015	SCNN1A	Dr. Israel Hanukoglu	published	http://www.sciencedirect.com/science/article/pii/S0378111915015735	http://www.ncbi.nlm.nih.gov/pubmed/26772908	Complete	http://en.wikipedia.org/wiki/SCNN1A		Template used		Andrew		completed	79.183.19.83	4756657
3*	6338	9/4/2015	9/8/2015	SCNN1B	Dr. Israel Hanukoglu	published	http://www.sciencedirect.com/science/article/pii/S0378111915015735	http://www.ncbi.nlm.nih.gov/pubmed/26772908	Complete	http://en.wikipedia.org/wiki/SCNN1B		Template used		Andrew			37.26.148.223	4756657
3*	6340	9/4/2015	9/8/2015	SCNN1G	Dr. Israel Hanukoglu	published	http://www.sciencedirect.com/science/article/pii/S0378111915015735	http://www.ncbi.nlm.nih.gov/pubmed/26772908	Complete	http://en.wikipedia.org/wiki/SCNN1G		Template used		Andrew				4756657
3*	6339	9/4/2015	9/8/2015	SCNN1D	Dr. Israel Hanukoglu	published	http://www.sciencedirect.com/science/article/pii/S0378111915015735	http://www.ncbi.nlm.nih.gov/pubmed/26772908	Complete	http://en.wikipedia.org/wiki/SCNN1D		Template used		Andrew				4756657
4*	7138	8/31/2015	10/23/2015	Tnnt1	Dr. Jian-Ping Jin	published	http://www.sciencedirect.com/science/article/pii/S0378111916000378	http://www.ncbi.nlm.nih.gov/pubmed/26774798	Complete	https://en.wikipedia.org/wiki/TNNT1	Cardiac Gene	Template used		Erica		completed		5325693
4*	7139	8/31/2015	10/23/2015	Tnnt2	Dr. Jian-Ping Jin	published	http://www.sciencedirect.com/science/article/pii/S0378111916000378	http://www.ncbi.nlm.nih.gov/pubmed/26774798	Complete	https://en.wikipedia.org/wiki/TNNT2	Cardiac Gene	Template used		Erica				5325693
4*	7140	8/31/2015	10/23/2015	Tnnt3	Dr. Jian-Ping Jin	published	http://www.sciencedirect.com/science/article/pii/S0378111916000378	http://www.ncbi.nlm.nih.gov/pubmed/26774798	Complete	https://en.wikipedia.org/wiki/TNNT3	Cardiac Gene	Template used		Erica				5325693
8	57504			MTA3	Dr. Rakesh Kumar	published	http://www.sciencedirect.com/science/article/pii/S037811191630052X	http://www.ncbi.nlm.nih.gov/pubmed/26869315	Complete	http://en.wikipedia.org/wiki/MTA3		Template used		Erica		sent		4785049
