	title	views	granularity	timestamp	access	agent
69	Pulmonary_surfactant-associated_protein_A1	4	monthly	2021040100	all-access	user
70	Pulmonary_surfactant-associated_protein_A1	0	monthly	2021050100	all-access	user
71	Pulmonary_surfactant-associated_protein_A1	3	monthly	2021060100	all-access	user
72	Pulmonary_surfactant-associated_protein_A1	1	monthly	2021070100	all-access	user
73	Pulmonary_surfactant-associated_protein_A1	1	monthly	2021080100	all-access	user
74	Pulmonary_surfactant-associated_protein_A1	0	monthly	2021090100	all-access	user
75	Pulmonary_surfactant-associated_protein_A1	0	monthly	2021100100	all-access	user
76	SFTPA2	67	monthly	2015070100	all-access	user
77	SFTPA2	46	monthly	2015080100	all-access	user
78	SFTPA2	81	monthly	2015090100	all-access	user
79	SFTPA2	61	monthly	2015100100	all-access	user
80	SFTPA2	152	monthly	2015110100	all-access	user
81	SFTPA2	60	monthly	2015120100	all-access	user
82	SFTPA2	2304	monthly	2016010100	all-access	user
83	SFTPA2	68	monthly	2016020100	all-access	user
84	SFTPA2	66	monthly	2016030100	all-access	user
85	SFTPA2	36	monthly	2016040100	all-access	user
86	SFTPA2	42	monthly	2016050100	all-access	user
87	SFTPA2	98	monthly	2016060100	all-access	user
88	SFTPA2	42	monthly	2016070100	all-access	user
89	SFTPA2	51	monthly	2016080100	all-access	user
90	SFTPA2	27	monthly	2016090100	all-access	user
91	SFTPA2	29	monthly	2016100100	all-access	user
92	SFTPA2	36	monthly	2016110100	all-access	user
93	SFTPA2	47	monthly	2016120100	all-access	user
94	SFTPA2	32	monthly	2017010100	all-access	user
95	SFTPA2	42	monthly	2017020100	all-access	user
96	SFTPA2	87	monthly	2017030100	all-access	user
97	SFTPA2	45	monthly	2017040100	all-access	user
98	SFTPA2	33	monthly	2017050100	all-access	user
99	SFTPA2	50	monthly	2017060100	all-access	user
100	SFTPA2	47	monthly	2017070100	all-access	user
101	SFTPA2	46	monthly	2017080100	all-access	user
102	SFTPA2	36	monthly	2017090100	all-access	user
103	SFTPA2	19	monthly	2017100100	all-access	user
104	SFTPA2	11	monthly	2017110100	all-access	user
105	SFTPA2	27	monthly	2017120100	all-access	user
106	SFTPA2	30	monthly	2018010100	all-access	user
107	SFTPA2	11	monthly	2018020100	all-access	user
108	SFTPA2	30	monthly	2018030100	all-access	user
109	SFTPA2	10	monthly	2018040100	all-access	user
110	SFTPA2	12	monthly	2018050100	all-access	user
111	SFTPA2	13	monthly	2018060100	all-access	user
112	SFTPA2	17	monthly	2018070100	all-access	user
113	SFTPA2	20	monthly	2018080100	all-access	user
114	SFTPA2	9	monthly	2018090100	all-access	user
115	SFTPA2	22	monthly	2018100100	all-access	user
116	SFTPA2	21	monthly	2018110100	all-access	user
117	SFTPA2	15	monthly	2018120100	all-access	user
118	SFTPA2	11	monthly	2019010100	all-access	user
119	SFTPA2	9	monthly	2019020100	all-access	user
120	SFTPA2	15	monthly	2019030100	all-access	user
121	SFTPA2	15	monthly	2019040100	all-access	user
122	SFTPA2	21	monthly	2019050100	all-access	user
123	SFTPA2	16	monthly	2019060100	all-access	user
124	SFTPA2	5	monthly	2019070100	all-access	user
125	SFTPA2	12	monthly	2019080100	all-access	user
126	SFTPA2	36	monthly	2019090100	all-access	user
127	SFTPA2	15	monthly	2019100100	all-access	user
128	SFTPA2	12	monthly	2019110100	all-access	user
129	SFTPA2	15	monthly	2019120100	all-access	user
130	SFTPA2	14	monthly	2020010100	all-access	user
131	SFTPA2	6	monthly	2020020100	all-access	user
132	SFTPA2	18	monthly	2020030100	all-access	user
133	SFTPA2	17	monthly	2020040100	all-access	user
134	SFTPA2	8	monthly	2020050100	all-access	user
135	SFTPA2	5	monthly	2020060100	all-access	user
136	SFTPA2	9	monthly	2020070100	all-access	user
137	SFTPA2	4	monthly	2020080100	all-access	user
138	SFTPA2	8	monthly	2020090100	all-access	user
139	SFTPA2	12	monthly	2020100100	all-access	user
140	SFTPA2	7	monthly	2020110100	all-access	user
141	SFTPA2	5	monthly	2020120100	all-access	user
142	SFTPA2	5	monthly	2021010100	all-access	user
143	SFTPA2	10	monthly	2021020100	all-access	user
144	SFTPA2	8	monthly	2021030100	all-access	user
145	SFTPA2	7	monthly	2021040100	all-access	user
146	SFTPA2	12	monthly	2021050100	all-access	user
147	SFTPA2	6	monthly	2021060100	all-access	user
148	SFTPA2	2	monthly	2021070100	all-access	user
149	SFTPA2	4	monthly	2021080100	all-access	user
150	SFTPA2	3	monthly	2021090100	all-access	user
151	SFTPA2	1	monthly	2021100100	all-access	user
152	MiR-155	903	monthly	2015070100	all-access	user
153	MiR-155	758	monthly	2015080100	all-access	user
154	MiR-155	868	monthly	2015090100	all-access	user
155	MiR-155	953	monthly	2015100100	all-access	user
156	MiR-155	931	monthly	2015110100	all-access	user
157	MiR-155	851	monthly	2015120100	all-access	user
158	MiR-155	1010	monthly	2016010100	all-access	user
159	MiR-155	958	monthly	2016020100	all-access	user
160	MiR-155	1055	monthly	2016030100	all-access	user
161	MiR-155	972	monthly	2016040100	all-access	user
162	MiR-155	912	monthly	2016050100	all-access	user
163	MiR-155	895	monthly	2016060100	all-access	user
164	MiR-155	669	monthly	2016070100	all-access	user
165	MiR-155	718	monthly	2016080100	all-access	user
166	MiR-155	756	monthly	2016090100	all-access	user
167	MiR-155	1188	monthly	2016100100	all-access	user
168	MiR-155	1031	monthly	2016110100	all-access	user
169	MiR-155	967	monthly	2016120100	all-access	user
170	MiR-155	1075	monthly	2017010100	all-access	user
171	MiR-155	982	monthly	2017020100	all-access	user
172	MiR-155	1001	monthly	2017030100	all-access	user
173	MiR-155	816	monthly	2017040100	all-access	user
174	MiR-155	814	monthly	2017050100	all-access	user
175	MiR-155	744	monthly	2017060100	all-access	user
176	MiR-155	685	monthly	2017070100	all-access	user
177	MiR-155	649	monthly	2017080100	all-access	user
178	MiR-155	781	monthly	2017090100	all-access	user
179	MiR-155	1043	monthly	2017100100	all-access	user
180	MiR-155	1092	monthly	2017110100	all-access	user
181	MiR-155	768	monthly	2017120100	all-access	user
182	MiR-155	941	monthly	2018010100	all-access	user
183	MiR-155	942	monthly	2018020100	all-access	user
184	MiR-155	998	monthly	2018030100	all-access	user
185	MiR-155	967	monthly	2018040100	all-access	user
186	MiR-155	850	monthly	2018050100	all-access	user
187	MiR-155	947	monthly	2018060100	all-access	user
188	MiR-155	1591	monthly	2018070100	all-access	user
189	MiR-155	2158	monthly	2018080100	all-access	user
190	MiR-155	1198	monthly	2018090100	all-access	user
191	MiR-155	1281	monthly	2018100100	all-access	user
192	MiR-155	1478	monthly	2018110100	all-access	user
193	MiR-155	1109	monthly	2018120100	all-access	user
194	MiR-155	949	monthly	2019010100	all-access	user
195	MiR-155	895	monthly	2019020100	all-access	user
196	MiR-155	1023	monthly	2019030100	all-access	user
197	MiR-155	922	monthly	2019040100	all-access	user
198	MiR-155	963	monthly	2019050100	all-access	user
199	MiR-155	1384	monthly	2019060100	all-access	user
200	MiR-155	2434	monthly	2019070100	all-access	user
201	MiR-155	1037	monthly	2019080100	all-access	user
202	MiR-155	2175	monthly	2019090100	all-access	user
203	MiR-155	2203	monthly	2019100100	all-access	user
204	MiR-155	1124	monthly	2019110100	all-access	user
205	MiR-155	1052	monthly	2019120100	all-access	user
206	MiR-155	1247	monthly	2020010100	all-access	user
207	MiR-155	1805	monthly	2020020100	all-access	user
208	MiR-155	1541	monthly	2020030100	all-access	user
209	MiR-155	1459	monthly	2020040100	all-access	user
210	MiR-155	1188	monthly	2020050100	all-access	user
211	MiR-155	1001	monthly	2020060100	all-access	user
212	MiR-155	1179	monthly	2020070100	all-access	user
213	MiR-155	882	monthly	2020080100	all-access	user
214	MiR-155	826	monthly	2020090100	all-access	user
215	MiR-155	907	monthly	2020100100	all-access	user
216	MiR-155	956	monthly	2020110100	all-access	user
217	MiR-155	840	monthly	2020120100	all-access	user
218	MiR-155	723	monthly	2021010100	all-access	user
219	MiR-155	768	monthly	2021020100	all-access	user
220	MiR-155	720	monthly	2021030100	all-access	user
221	MiR-155	771	monthly	2021040100	all-access	user
222	MiR-155	787	monthly	2021050100	all-access	user
223	MiR-155	639	monthly	2021060100	all-access	user
224	MiR-155	572	monthly	2021070100	all-access	user
225	MiR-155	409	monthly	2021080100	all-access	user
226	MiR-155	600	monthly	2021090100	all-access	user
227	MiR-155	592	monthly	2021100100	all-access	user
228	Epoxide_hydrolase_2	264	monthly	2015070100	all-access	user
229	Epoxide_hydrolase_2	273	monthly	2015080100	all-access	user
230	Epoxide_hydrolase_2	275	monthly	2015090100	all-access	user
231	Epoxide_hydrolase_2	379	monthly	2015100100	all-access	user
232	Epoxide_hydrolase_2	481	monthly	2015110100	all-access	user
233	Epoxide_hydrolase_2	290	monthly	2015120100	all-access	user
234	Epoxide_hydrolase_2	318	monthly	2016010100	all-access	user
235	Epoxide_hydrolase_2	313	monthly	2016020100	all-access	user
236	Epoxide_hydrolase_2	534	monthly	2016030100	all-access	user
237	Epoxide_hydrolase_2	419	monthly	2016040100	all-access	user
238	Epoxide_hydrolase_2	384	monthly	2016050100	all-access	user
239	Epoxide_hydrolase_2	373	monthly	2016060100	all-access	user
240	Epoxide_hydrolase_2	294	monthly	2016070100	all-access	user
241	Epoxide_hydrolase_2	363	monthly	2016080100	all-access	user
242	Epoxide_hydrolase_2	325	monthly	2016090100	all-access	user
243	Epoxide_hydrolase_2	330	monthly	2016100100	all-access	user
244	Epoxide_hydrolase_2	408	monthly	2016110100	all-access	user
245	Epoxide_hydrolase_2	280	monthly	2016120100	all-access	user
246	Epoxide_hydrolase_2	297	monthly	2017010100	all-access	user
247	Epoxide_hydrolase_2	333	monthly	2017020100	all-access	user
248	Epoxide_hydrolase_2	316	monthly	2017030100	all-access	user
249	Epoxide_hydrolase_2	247	monthly	2017040100	all-access	user
250	Epoxide_hydrolase_2	361	monthly	2017050100	all-access	user
251	Epoxide_hydrolase_2	301	monthly	2017060100	all-access	user
252	Epoxide_hydrolase_2	310	monthly	2017070100	all-access	user
253	Epoxide_hydrolase_2	235	monthly	2017080100	all-access	user
254	Epoxide_hydrolase_2	278	monthly	2017090100	all-access	user
255	Epoxide_hydrolase_2	299	monthly	2017100100	all-access	user
256	Epoxide_hydrolase_2	371	monthly	2017110100	all-access	user
257	Epoxide_hydrolase_2	363	monthly	2017120100	all-access	user
258	Epoxide_hydrolase_2	364	monthly	2018010100	all-access	user
259	Epoxide_hydrolase_2	350	monthly	2018020100	all-access	user
260	Epoxide_hydrolase_2	356	monthly	2018030100	all-access	user
261	Epoxide_hydrolase_2	303	monthly	2018040100	all-access	user
262	Epoxide_hydrolase_2	364	monthly	2018050100	all-access	user
263	Epoxide_hydrolase_2	300	monthly	2018060100	all-access	user
264	Epoxide_hydrolase_2	291	monthly	2018070100	all-access	user
265	Epoxide_hydrolase_2	267	monthly	2018080100	all-access	user
266	Epoxide_hydrolase_2	323	monthly	2018090100	all-access	user
267	Epoxide_hydrolase_2	364	monthly	2018100100	all-access	user
268	Epoxide_hydrolase_2	426	monthly	2018110100	all-access	user
269	Epoxide_hydrolase_2	397	monthly	2018120100	all-access	user
270	Epoxide_hydrolase_2	356	monthly	2019010100	all-access	user
271	Epoxide_hydrolase_2	371	monthly	2019020100	all-access	user
272	Epoxide_hydrolase_2	435	monthly	2019030100	all-access	user
273	Epoxide_hydrolase_2	441	monthly	2019040100	all-access	user
274	Epoxide_hydrolase_2	448	monthly	2019050100	all-access	user
275	Epoxide_hydrolase_2	333	monthly	2019060100	all-access	user
276	Epoxide_hydrolase_2	334	monthly	2019070100	all-access	user
277	Epoxide_hydrolase_2	359	monthly	2019080100	all-access	user
278	Epoxide_hydrolase_2	398	monthly	2019090100	all-access	user
279	Epoxide_hydrolase_2	442	monthly	2019100100	all-access	user
280	Epoxide_hydrolase_2	428	monthly	2019110100	all-access	user
281	Epoxide_hydrolase_2	335	monthly	2019120100	all-access	user
282	Epoxide_hydrolase_2	432	monthly	2020010100	all-access	user
283	Epoxide_hydrolase_2	376	monthly	2020020100	all-access	user
284	Epoxide_hydrolase_2	398	monthly	2020030100	all-access	user
285	Epoxide_hydrolase_2	440	monthly	2020040100	all-access	user
286	Epoxide_hydrolase_2	315	monthly	2020050100	all-access	user
287	Epoxide_hydrolase_2	284	monthly	2020060100	all-access	user
288	Epoxide_hydrolase_2	260	monthly	2020070100	all-access	user
289	Epoxide_hydrolase_2	237	monthly	2020080100	all-access	user
290	Epoxide_hydrolase_2	219	monthly	2020090100	all-access	user
291	Epoxide_hydrolase_2	270	monthly	2020100100	all-access	user
